id,name,region_id,description,image_url
136,Stormcaller Church,6,A lonely church on a steppe,https://eldenring.fanapis.com/images/locations/17f69b9d414l0i2mpdus3zy2at76rr.png
137,The Shaded Castle,6,"An abandoned and Decrepit castle found in the northern region between the Mt. Gelmir and the Altus Plateau regions. The castle is half sunken into a poisonous bog, with the air tinged yellow by the fumes.",https://eldenring.fanapis.com/images/locations/17f6981f5f9l0i2mpl63u29r5fa3te.png
138,Woodfolk Ruins,6,"Woodfolk Ruins, guarded by Limgrave's creatures, can be found near the Minor Erdtree within Altus Plateau.",https://eldenring.fanapis.com/images/locations/17f69af90afl0i2mpmxqabln2xz5gc.png
139,Corpse-stench Shack,6,A run-down shack amidst burning corpses past the site of a recent battle.,
140,Writheblood Ruins,6,"Writheblood ruins, with nearest minor erdtree in background",https://eldenring.fanapis.com/images/locations/17f69d9b8fel0i2mq0i7c25oc8ud27.png
141,Craftsman's Shack,6,A series of long-abandoned huts found directly south of the volcano,https://eldenring.fanapis.com/images/locations/17f69d1692bl0i2mq82mmh96k9rqih.png
142,Gelmir Hero's Grave,6,Large Catacombs housing an ancient hero of Mt. Gelmir.,https://eldenring.fanapis.com/images/locations/17f69b3cf18l0i2mqdndclk0p7tmvv.png
143,Hermit's Shack,6,An abandoned shack along the western edge of Mt. Gelmir,https://eldenring.fanapis.com/images/locations/17f69a0735el0i2mqkr50k38bz166b.png
144,Fort Laiedd,6,"Fort Laiedd is found on the western edge of Mt. Gelmir. A fort left broken, still occupied by those who won the battle",https://eldenring.fanapis.com/images/locations/17f69b78aa3l0i2mqmnrfo05lqjj3.png
145,Perfumer's Ruins,6,"A set of ruins found in Altus Plateau, far to the west and below Mt. Gelmir.",https://eldenring.fanapis.com/images/locations/17f69f41641l0i2mqtyu5zlb9bg8xc.png
146,Hermit Village,6,A dilapidated village southeast of Mt. Gelmir. Now home to Demi-Humans.,https://eldenring.fanapis.com/images/locations/17f69630438l0i2mqvzhowrb84vyy.png
147,Sage's Cave,6,"Sage's Cave is a dark opening in the side of a mountain. Its dark depths are overrun by hostile undead, but those who brave it may find treasures beyond compare",https://eldenring.fanapis.com/images/locations/17f69a39644l0i2mr10gkkf9agp8m7.png
148,Second Church Of Marika,6,Second of the four Churches of Marika where players can gather a Sacred Tear for their flask.,https://eldenring.fanapis.com/images/locations/17f69a7a523l0i2mr4q3lyuakdiubr.png
149,Unsightly Catacombs,6,"A burial grounds crawling with Misbegotten creatures found deep beneath the Perfumer's Ruins. Despite its decrepit state, the catacombs give off a trace of fragrant aromas juxtaposed by the scent of the ancient dead",https://eldenring.fanapis.com/images/locations/17f69c28019l0i2mrdirn1c1brqcqj.png
150,Seethewater Cave,6,A cave found along the Seethewater Ravine.,https://eldenring.fanapis.com/images/locations/17f6967952el0i2mrhy8fpgqo0f4hr.png
151,Wyndham Catacombs,6,Burial grounds located beneath Wyndham Ruins.,https://eldenring.fanapis.com/images/locations/17f696c58e8l0i2mrr461qyqfe46y6.png
152,Volcano Cave,6,"A cave system at the highest point of Mt. Gelmir, made into a home by a family of Demi-Humans hiding their maddened Queen.",https://eldenring.fanapis.com/images/locations/17f69e3f410l0i2mrtcr66ff1g9p4h.png
153,Wyndham Ruins,6,A large set of ruins atop a burial grounds. The reanimated dead still roam the area,https://eldenring.fanapis.com/images/locations/17f697f4526l0i2mrynoucp5w0m96s.png
154,Bestial Sanctum,2,"The Beastial Sanctum is a refuge for those who feed on the dead. Beastly and deformed, the clergyman here will teach the ways of the beast to those who feed it",https://eldenring.fanapis.com/images/locations/17f69b97ce8l0i2ms4ikyh4h5oxhve.png
155,Dragonbarrow Cave,5,A small dungeon found beneath the Minor Erdtree in Dragonbarrow,https://eldenring.fanapis.com/images/locations/17f69a52fdal0i2mscdgudt5b894m5.png
156,Divine Tower Of Caelid,2,"A massive tower found in central Dragonbarrow, north of Caelid. The sides of the tower are crumbling from the massive overgrowth protruding from the plateau",https://eldenring.fanapis.com/images/locations/17f69bd98abl0i2msf1hgi0pk8vssd.png
157,Deep Siofra Well,5,A second lift to the Siofra River.,https://eldenring.fanapis.com/images/locations/17f69bc1846l0i2msgjjzgo3z9kwjh.png
158,Fort Faroth,5,"Fort Faroth used to house the guardians of Caelid, but its defenders have long fallen, now bound to earth as hostile spirits",https://eldenring.fanapis.com/images/locations/17f69f6581cl0i2msjrduyrq5lzcub.png
159,Lenne's Rise,5,"An observation tower in the northeast of Dragonbarrow, off the path to the Bestial Sanctum",https://eldenring.fanapis.com/images/locations/17f696f226dl0i2msytg87r3uaqkyd.png
160,Isolated Merchant's Shack (dragonbarrow),5,A lonesome hut found atop a plateau in western Dragonbarrow. Home to a hermit looking to part with various odds and ends... for a price,https://eldenring.fanapis.com/images/locations/17f69dd1443l0i2mt2e1wsljt8hffr.png
161,Castle Sol,7,A castle found in the northeast of the Mountaintops of the Giants. Stronghold of Commander Niall and his spectral knights,https://eldenring.fanapis.com/images/locations/17f697b13fal0i2mt2gmldy864m2zj.png
162,Church Of Repose,7,A small crumbled church high on the mountains,https://eldenring.fanapis.com/images/locations/17f6986804dl0i2mt48ydii28an8a.png
163,Forge Of The Giants,7,The giant's forge could contain a volcano.,https://eldenring.fanapis.com/images/locations/17f69d071acl0i2mtig4ni1eefzjg.png
164,Grand Lift Of Rold,7,The impressive Lift of Rold transports those who wield the right key. But could there be more than one destination??,https://eldenring.fanapis.com/images/locations/17f697bdfffl0i2mtpen4salledwa.png
165,Guardians' Garrison,7,"Guardian's Garrison is staffed by Fire Priests, who zealously watch the road leading to the Giant's Forge",https://eldenring.fanapis.com/images/locations/17f698657ecl0i2mtswf7rb3f7u2l7.png
166,Giant-conquering Hero's Grave,7,A complex dungeon filled with invulnerable enemies and strange golden floor seals.,https://eldenring.fanapis.com/images/locations/17f697036fbl0i2mtt1y66q5foxdq.png
167,Shack Of The Lofty,7,"A lone shack found in the Mountaintops of the Giants. This shack was once visited by a traveling maiden, but she had long since perished under the elements",https://eldenring.fanapis.com/images/locations/17f6986c248l0i2mud577bnmdfh8w.png
168,Spiritcaller's Cave,7,"A cave found by the Freezing Lake, heavily battered by the elements",https://eldenring.fanapis.com/images/locations/17f69a25d31l0i2muhzfvabyqxiv2v.png
169,Stargazer's Ruins,7,A set of ruins found in central Mountaintops of the Giants. The plateau it is sitting on is located between two bridges.,https://eldenring.fanapis.com/images/locations/17f695f2681l0i2muinpxbngca38up.png
170,Zamor Ruins,7,"The ancient Town of Zamor, now fallen to ruin. Its anzient order of knights still roam the snow-capped streets",https://eldenring.fanapis.com/images/locations/17f69efba83l0i2mv5car0cnamiotl.png
171,Consecrated Snowfield Catacombs,7,"The Catacombs of the fields leading to Miquella's Haligtree hide powerful secrets, but are zealously guarded",https://eldenring.fanapis.com/images/locations/17f69b5132al0i2mvbu1p0fqlhzbjb.png
172,Apostate Derelict,7,A ruined church lying in the frozen north-west of the Consecrated Grounds,https://eldenring.fanapis.com/images/locations/17f697fe6e2l0i2mvhwmvjnk9ek1hb.png
173,Heretical Rise,7,"The secrets of Heretical Rise are closely guarded by hidden magic, but the tower is overrun with hostile Avionette Soldiers",https://eldenring.fanapis.com/images/locations/17f6994064fl0i2mvrzl0ze8veus3.png
174,Hidden Path To The Haligtree,7,The secret passage leading to Miquella's Haligtree has been polluted by Those Who Live in Dead,https://eldenring.fanapis.com/images/locations/17f69a00a08l0i2mvsxha1qmkpwnqb.png
175,Yelough Anix Ruins,7,A set of ruins found in the northwest of the Consecrated Snowfield,https://eldenring.fanapis.com/images/locations/17f69ea8ac4l0i2mw3htuchm8ubrxk.png
176,"Ordina, Liturgical Town",7,Ghost town inhabitated in the evergaol,https://eldenring.fanapis.com/images/locations/17f699f31b0l0i2mw5av5ayol4jqjn.png
177,Yelough Anix Tunnel,7,An icy tunnel on the southern edge of the Yelough Anix Ruins,https://eldenring.fanapis.com/images/locations/17f69dfae57l0i2mwa08uny35m2uqf.png
178,Limgrave,1,,
179,Caelid,2,,
180,Weeping Peninsula,3,,
181,Liurnia of the Lakes,4,,
182,Dragonbarrow,5,,
183,Altus Plateau,6,,
184,Mountaintops of the Giants,7,,
